director_name,actor_1_name,movie_title,title_year,budget
Peter Jackson,Christopher Lee,Lord of the Rings: 1,2001,93000000
Peter Jackson,Orlando Bloom,Lord of the Rings: 3,2003,94000000
Peter Jackson,Christopher Lee,Lord of the Rings: 2,2002,94000000
David Yates,Emma Watson,Harry Potter: 6,2009,250000000
David Yates,Emma Watson,Harry Potter: 5,2007,150000000
Mike Newell,Emma Watson,Harry Potter: 4,2005,150000000
Alfonso Cuarón,Emma Watson,Harry Potter: 3,2004,130000000
Matt Birch,Emma Watson,Harry Potter: 7,2011,250000000
Chris Columbus,Emma Watson,Harry Potter: 1,2001,125000000
Chris Columbus,Emma Watson,Harry Potter: 2,2002,100000000
George Lucas,Natalie Portman,Star Wars: III,2005,113000000
George Lucas,Natalie Portman,Star Wars: II,2002,115000000
George Lucas,Natalie Portman,Star Wars: I,1999,115000000
Richard Marquand,Harrison Ford,Star Wars: VI,1983,32500000
Irvin Kershner,Harrison Ford,Star Wars: V,1980,18000000
George Lucas,Harrison Ford,Star Wars: IV,1977,11000000
Doug Walker,Doug Walker,Star Wars: VII,2001,93000000
Peter Jackson,Orlando Bloom,Lord of the Rings: 1,2001,93000000
Peter Jackson,Billy Boyd,Lord of the Rings: 3,2003,94000000
Peter Jackson,Orlando Bloom,Lord of the Rings: 2,2002,94000000
David Yates,Daniel Radcliffe,Harry Potter: 6,2009,250000000
David Yates,Daniel Radcliffe,Harry Potter: 5,2007,150000000
Mike Newell,Daniel Radcliffe,Harry Potter: 4,2005,150000000
Alfonso Cuarón,Daniel Radcliffe,Harry Potter: 3,2004,130000000
Matt Birch,Daniel Radcliffe,Harry Potter: 7,2011,250000000
Chris Columbus,Daniel Radcliffe,Harry Potter: 1,2001,125000000
Chris Columbus,Daniel Radcliffe,Harry Potter: 2,2002,100000000
George Lucas,Christopher Lee,Star Wars: III,2005,113000000
George Lucas,Christopher Lee,Star Wars: II,2002,115000000
George Lucas,Liam Neeson,Star Wars: I,1999,115000000
Richard Marquand,Ian McDiarmid,Star Wars: VI,1983,32500000
Irvin Kershner,Kenny Baker,Star Wars: V,1980,18000000
George Lucas,Peter Cushing,Star Wars: IV,1977,11000000
Doug Walker,Rob Walker,Star Wars: VII,2001,93000000
Peter Jackson,Billy Boyd,Lord of the Rings: 1,2001,93000000
Peter Jackson,Bernard Hill,Lord of the Rings: 3,2003,94000000
Peter Jackson,Billy Boyd,Lord of the Rings: 2,2002,94000000
David Yates,Rupert Grint,Harry Potter: 6,2009,250000000
David Yates,Rupert Grint,Harry Potter: 5,2007,150000000
Mike Newell,Rupert Grint,Harry Potter: 4,2005,150000000
Alfonso Cuarón,Rupert Grint,Harry Potter: 3,2004,130000000
Matt Birch,Rupert Grint,Harry Potter: 7,2011,250000000
Chris Columbus,Rupert Grint,Harry Potter: 1,2001,125000000
Chris Columbus,Rupert Grint,Harry Potter: 2,2002,100000000
George Lucas,Hayden Christensen,Star Wars: III,2005,113000000
George Lucas,Hayden Christensen,Star Wars: II,2002,115000000
George Lucas,Ian McDiarmid,Star Wars: I,1999,115000000
Richard Marquand,Kenny Baker,Star Wars: VI,1983,32500000
Irvin Kershner,Anthony Daniels,Star Wars: V,1980,18000000
George Lucas,Kenny Baker,Star Wars: IV,1977,11000000
Doug Walker,Polly Walker,Star Wars: VII,2001,93000000
